project,plh,loccate,lat,lon
Verandah @ Kallang,Yes,Mature,1.31015772162034,103.875063350295
Alexandra Peaks,Yes,Mature,1.29151981991682,103.822576649518
Alexandra Vale,Yes,Mature,1.28960133225885,103.818276680258
Havelock Hillside,Yes,Mature,1.35730126173098,103.877726260223
Bartley Beacon,No,Mature,1.34088960796369,103.879139775745
ParkView @ Bidadari,No,Mature,1.3384536176892,103.874785626258
Bartley GreenRise,No,Mature,1.34304143501032,103.877363026119
ParkEdge @ Bidadari,No,Mature,1.34024749735901,103.876330655485
Alkaff Breeze,No,Mature,1.33674489248516,103.874525998995
Bayshore Vista,Yes,Plus,1.31312248291264,103.942309776767
Bayshore Palms,Yes,Plus,1.31312248291264,103.942309776767
Bedok South Bloom,No,Mature,1.32430117973484,103.938654033654
Bedok North Springs,No,Mature,1.33465209119174,103.932237242548
Bedok South Blossoms,No,Mature,1.3181828876969,103.946753679727
Bishan Ridges,No,Mature,1.3520379322967,103.85354271801
Bishan Towers,No,Mature,1.34393182653567,103.856728615419
Boon Lay Glade,No,Non-mature,1.34167180975725,103.710237715445
Jurong West Jewel,No,Non-mature,1.33570859607444,103.692384325863
Brickland Weave,No,Non-mature,1.370586796237,103.745024024253
Bukit Merah Ridge,Yes,Mature,1.28680668883289,103.823323455809
Canberra Vista,No,Non-mature,1.44086147315223,103.828539259164
Central Trio @ AMK,Yes,Plus,1.37410907646004,103.847102491125
Central. Weave @ AMK,No,Mature,1.37410907646004,103.847102491125
Chai Chee Green,No,Mature,1.33095899079903,103.919255080028
Champions Bliss,No,Non-mature,1.42749075771809,103.791641323423
Urbanville @ Woodlands,No,Non-mature,1.44003736316686,103.785283874045
Champions Green,No,Non-mature,1.42758863865503,103.789130782098
Chencharu Green,No,Standard,1.41711160363276,103.826326690949
Chencharu Vines,No,Standard,1.41711160363276,103.826326690949
Chencharu Hills,No,Non-mature,1.41711160363276,103.826326690949
Costa Grove,No,Mature,1.37683016686919,103.947892455698
Costa Riveria I & II,No,Standard,1.31165855065443,103.940281261049
Crawford Heights,Yes,Prime,1.36375816043188,103.971623837915
Dakota Crest,No,Mature,1.30650053570408,103.885642346587
Dakota One,No,Mature,1.31071402683167,103.88681045102
Farrer Park Arena,Yes,Mature,1.31232944448484,103.854770359677
Farrer Park Fields,Yes,Mature,1.31039787857874,103.850140885888
Rajah Summit,Yes,Mature,1.30190760744751,103.77349918859
Fernvale Oasis,No,Standard,1.39188589234766,103.87630862552
Fernvale Sails,No,Standard,1.38830347916489,103.871173506409
Fernvale Vines,No,Non-mature,1.39814678014706,103.876538391161
Garden Bloom @ Tengah,No,Non-mature,1.36055307199671,103.728441416772
Garden Court @ Tengah,No,Non-mature,1.35933745468117,103.730946465569
Garden Terrace @ Tengah,No,Non-mature,1.35727379158321,103.730507730134
Garden Waterfront I,No,Non-mature,1.35807521197594,103.727062023583
II @ Tengah,No,Non-mature,1.35504787950375,103.728635539401
Ghim Moh Ascent,Yes,Mature,1.31108897751095,103.789838490458
Ghim Moh Natura,Yes,Mature,1.30877894086919,103.790177581593
Queensway Canopy,Yes,Mature,1.28842657948272,103.802829527538
Ulu Pandan Banks,Yes,Mature,1.30897009123107,103.787328414056
Heart of Yew Tee,No,Non-mature,1.3971942776408,103.745922751197
Holland Vista,Yes,Mature,1.30942303629376,103.793876139012
Hougang Citrine,No,Non-mature,1.34633114045308,103.888255403793
Kovan Wellspring,No,Non-mature,1.36008168125038,103.886715250569
Jurong Arcadia,No,Non-mature,1.35395593997517,103.723672916192
Jurong East Breeze,No,Non-mature,1.41476766737198,103.840024826704
Jurong West Crystal,No,Non-mature,1.28953990439407,103.774887425638
Kallang Breeze,No,Mature,1.3137643727594,103.874294895776
Towner Crest,No,Mature,1.31844143042033,103.859728998078
Kallang Horizon,Yes,Mature,1.31170798667056,103.870497894801
Kallang View,Yes,Plus,1.31758240979933,103.873908786717
Keat Hong Grange,No,Non-mature,1.37524979404042,103.743448796988
Keat Hong Verge,No,Non-mature,1.37517967031833,103.749938280853
Kebun Baru Edge,No,Mature,1.36839788311495,103.833687204195
Kembangan Wave,Yes,Plus,1.32164023627263,103.913193476299
Kempas Residences,No,Mature,1.31601875088283,103.859209335509
Kent Heights,No,Mature,1.31727396841145,103.850579287537
Kim Keat Heights,No,Mature,1.33817040029818,103.855053517776
Kim Keat Ripples,No,Mature,1.33275469684362,103.858642523657
Toa Payoh Ridge,No,Mature,1.34025200198816,103.843003075373
King George's Heights,Yes,Mature,1.30663521701305,103.859256955575
Lakeside View,No,Non-mature,1.34129203312223,103.72103664239
MacPherson Weave,No,Mature,1.32748104273129,103.889062777704
Marsiling Peak I & II,No,Non-mature,1.3086843324857,103.801689082774
Marsiling Ridge,No,Standard,1.44150533051525,103.77213161946
Matilda Riverside,No,Non-mature,1.40159019254178,103.888874741396
McNair Heights,No,Mature,1.31718193292347,103.858252810941
Merpati Alcove,Yes,Plus,1.2391793984636,103.834375612234
Miltonia Breeza @ Yishun,No,Non-mature,1.41854558542021,103.844252556308
Vanda Breeze @ Yishun,No,Non-mature,1.41854558542021,103.844252556308
Aranda Breeze @ Yishun,No,Non-mature,1.41854558542021,103.844252556308
Nanyang Opal,No,Non-mature,1.34096044368838,103.690819152729
Parc Flora @ Tengah,No,Non-mature,1.36258054527624,103.733423364171
Plantation Greek,No,Non-mature,1.35456258887178,103.730176330162
Parc Glen @ Tengah,No,Non-mature,1.36213710970613,103.738770098329
Parc Clover @ Tengah,No,Non-mature,1.36112643481853,103.73679704994
Parc Residences @ Tengah,No,Non-mature,1.35941522167952,103.73788984525
Parc Woods @ Tengah,No,Non-mature,1.36240468488752,103.734666975882
Petir Park Edge,No,Non-mature,1.37520303522363,103.767763344969
Plantation Acres,No,Non-mature,1.35486163684029,103.734628425622
Garden Vale @ Tengah,No,Non-mature,1.36020739362341,103.733335474103
Plantation Edge I,No,Non-mature,1.35324637444701,103.735968354011
II,No,Non-mature,1.30958778399004,103.827607798009
Plantation Verge,No,Non-mature,1.3523705720114,103.735764373156
Parc Meadow @ Tengah,No,Non-mature,1.36596498443273,103.735523758032
Plantation Village,No,Non-mature,1.3592172152625,103.734905102879
Plantation Grange,No,Non-mature,1.35652351749862,103.73215816192
Garden Vines @ Tengah,No,Non-mature,1.36061578677807,103.732199052701
Punggol Point Cove,No,Non-mature,1.41705069091257,103.912693600693
Punggol Point Crown,No,Non-mature,1.42000672442461,103.911262666217
Queen's Arc,No,Mature,1.28885248790903,103.80062917725
Rail Garden @ CCK,No,Non-mature,1.38684078854813,103.7551974419
Rail Green I,No,Non-mature,1.38428101589455,103.757018214505
II @ CCK,No,Non-mature,1.38250961529693,103.758859736505
Rajah Residences,No,Mature,1.3273157457736,103.85348395093
Tenteram Vantage,No,Mature,1.32887598357228,103.860385295701
River Peaks I & II,Yes,Mature,1.30518692247865,103.856145485985
Serangoon North Vista,No,Mature,1.30627534823257,103.790363200126
Sin Ming Residences,No,Mature,1.35555419862284,103.838953075945
Stirling Horizon,Yes,Plus,1.39963005110234,103.913254844387
Sun Plaza Spring,No,Mature,1.35818355846513,103.948632507904
Sun Sails,No,Non-mature,1.44239862156949,103.821826618463
Taman Jurong Skyline,No,Standard,1.30315428073007,103.829577548446
Tampines GreenEmerald,No,Mature,1.3394096558958,103.937963243696
Tampines GreenGlen,No,Mature,1.36929541697129,103.934575622413
Tampines GreenQuartz,No,Mature,1.34196126109547,103.937911739214
Tampines GreenJade,No,Mature,1.34134640673224,103.935395200155
Tampines GreenSpring,No,Mature,1.35445354491042,103.940862799115
Tampines GreenTopaz,No,Mature,1.34319783017004,103.940044257699
Tampines Greencrest,No,Mature,1.37077629232465,103.93537002153
Tampines Greenlade,No,Mature,1.3678950289159,103.934282230812
Tampines Greenopal,No,Mature,1.3375485267252,103.938924349477
Tanglin Halt Cascadia,Yes,Mature,1.30163123909487,103.795387142787
Tanglin Halt Courtyard,Yes,Mature,1.30005817218833,103.798353981634
Tanjong Rhu Parc Front,Yes,Prime,1.29650050598839,103.878208370651
Tanjong Rhu Riverfront I & II,Yes,Mature,1.30058712235481,103.881442536598
Tanjong Tree Residences,No,Non-mature,1.34705131810249,103.886605963448
Tanjong Tree Residences @ Hougang,No,Non-mature,1.34705131810249,103.886605963448
Hougang Olive,No,Non-mature,1.34826512356759,103.888225866113
Teban Breeze,No,Non-mature,1.32221816738912,103.745058666424
Telok Blangah Beacon,No,Mature,1.27324992671971,103.808428967832
Toh Guan Grove,No,Non-mature,1.34038774442846,103.74553747063
Towner Breeze,Yes,Plus,1.3226902229318,103.858582587596
Towner Residences,No,Mature,1.32064374207695,103.856652950525
Ulu Pandan Glades,Yes,Mature,1.30897009123107,103.787328414056
Ulu Pandan Vista,Yes,Mature,1.30897009123107,103.787328414056
West BrickVille @ Bukit Batok,No,Standard,1.34567395098752,103.739501967519
West Glades @ Bukit Batok,No,Non-mature,1.34567395098752,103.739501967519
West Hill @ Bukit Batok,No,Non-mature,1.35918980820173,103.743954320972
Woodgrove Ascent,No,Non-mature,1.43198368054543,103.78231151896
Woodgrove Edge,No,Non-mature,1.42820425219685,103.784256415302
Woodlands Beacon,No,Non-mature,1.43536275832996,103.782517311075
Urban Rise @ Woodlands,No,Non-mature,1.43690078725739,103.783595621435
Woodlands North Verge,No,Standard,1.45040408597633,103.784706643694
Woodlands South Plains,No,Non-mature,1.43499001602245,103.786982122747
Yio Chu Kang Beacon,No,Mature,1.3830203830033,103.841780326812
Yishun Beacon,No,Non-mature,1.42330007851372,103.836242396587
Yishun Boardwalk,No,Non-mature,1.43366921594049,103.847136480213
Grove Spring @ Yishun,No,Non-mature,1.43127040238114,103.849381189766
